timezone,weekday,hour,return_std
JST,1,6,0.0018575099752826541
JST,1,7,0.001945909453740461
JST,1,8,0.0018649652201998756
JST,1,9,0.0019868577749680228
JST,1,10,0.0022229842091835835
JST,1,11,0.002234950700303034
JST,1,12,0.0020455060140714435
JST,1,13,0.00194543266094894
JST,1,14,0.0020745210000885704
JST,1,15,0.0017924967589691015
JST,1,16,0.0016303990579421578
JST,1,17,0.001946394707719279
JST,1,18,0.0018132492532150107
JST,1,19,0.0016650462522452144
JST,1,20,0.001559824288692241
JST,1,21,0.0020480402462358343
JST,1,22,0.0025844028085267386
JST,1,23,0.003758753680444013
JST,2,0,0.00406147100408831
JST,2,1,0.003306526772957385
JST,2,2,0.0029163649552240265
JST,2,3,0.0025278426511410415
JST,2,4,0.0027564900535091965
JST,2,5,0.002568133437631504
JST,2,6,0.00218633373050712
JST,2,7,0.00255560056485024
JST,2,8,0.0024009254227218123
JST,2,9,0.0019188306025348404
JST,2,10,0.002815458136291264
JST,2,11,0.0022373600775193875
JST,2,12,0.0018969936192313674
JST,2,13,0.0016480681204391987
JST,2,14,0.001927459237164629
JST,2,15,0.001710113323520435
JST,2,16,0.0016119425876192455
JST,2,17,0.002163103576060869
JST,2,18,0.0019302699272786665
JST,2,19,0.0015471120348724005
JST,2,20,0.0017229593520898148
JST,2,21,0.002096975434387494
JST,2,22,0.002718792161959432
JST,2,23,0.0033323677336796267
JST,3,0,0.004120364560179069
JST,3,1,0.0036664634934669964
JST,3,2,0.0028983262601788213
JST,3,3,0.0031086464916480973
JST,3,4,0.0028928543592504404
JST,3,5,0.0025771825876078854
JST,3,6,0.0023253867761189604
JST,3,7,0.002335135441267813
JST,3,8,0.0020258438189410402
JST,3,9,0.002253113286489549
JST,3,10,0.002305319343227864
JST,3,11,0.002398501043373495
JST,3,12,0.002365253279893069
JST,3,13,0.0020746727241277366
JST,3,14,0.0021215815607176732
JST,3,15,0.001825249889099219
JST,3,16,0.0018561881014398328
JST,3,17,0.0018411461587235563
JST,3,18,0.002101910011161252
JST,3,19,0.0017586085884806937
JST,3,20,0.0018013507518363963
JST,3,21,0.0020272546629108777
JST,3,22,0.003009472935795776
JST,3,23,0.004101737778390077
JST,4,0,0.004480003147127725
JST,4,1,0.003228193347646922
JST,4,2,0.003370117581641226
JST,4,3,0.0031732527419925825
JST,4,4,0.0025817932082095795
JST,4,5,0.002517927542838317
JST,4,6,0.0020679441036935056
JST,4,7,0.0019558054231267074
JST,4,8,0.0020750459779558016
JST,4,9,0.004212907979944242
JST,4,10,0.002971483952910406
JST,4,11,0.0028781533581488353
JST,4,12,0.0021789444011048346
JST,4,13,0.0021969853699745612
JST,4,14,0.0020214111621527095
JST,4,15,0.002162116983448744
JST,4,16,0.002575011799539066
JST,4,17,0.001961267251111546
JST,4,18,0.0021872340371842454
JST,4,19,0.001981259852994992
JST,4,20,0.002041351378500152
JST,4,21,0.002885335069511744
JST,4,22,0.002803915185610244
JST,4,23,0.004555238759499752
JST,5,0,0.0038720481478261154
JST,5,1,0.0030695493795872436
JST,5,2,0.00332574408031453
JST,5,3,0.0026921417939098145
JST,5,4,0.002317866597315215
JST,5,5,0.002177779542199461
JST,5,6,0.003515053885251691
JST,5,7,0.0022397845072741943
JST,5,8,0.0016885521591112917
JST,5,9,0.0019369607052322295
JST,5,10,0.0013282009425938028
JST,5,11,0.0014805650136045726
JST,5,12,0.001416235632565598
JST,5,13,0.0013533040539100724
JST,5,14,0.001695658639460093
JST,5,15,0.0016233507382344059
