month,train_start,model_fit_end,train_rows,gate_label_end,test_rows,converged,gmm_converged,hmm_train_min_occupancy,gmm_train_min_occupancy,hmm_mean_max_probability,gmm_mean_max_probability,hmm_seed_ari,gmm_seed_ari,trend_allowed_states,reversion_allowed_states,gmm_trend_allowed_states,gmm_reversion_allowed_states,hmm_retraining_ari,gmm_retraining_ari,retraining_stability_status
2024-02-01T00:00:00+00:00,2022-02-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,17520,2024-01-31T23:00:00+00:00,696,True,True,0.18949771689497716,0.1558219178082192,0.9727567363017046,0.9400890037822961,0.3864980026032967,0.9979201646346157,bear_stress|bull_trend,bull_trend|quiet_range|volatile_transition,volatile_transition,quiet_range,0.5266476174078075,0.9588182968803715,ok
2024-03-01T00:00:00+00:00,2022-03-02T00:00:00+00:00,2024-02-29T23:00:00+00:00,17520,2024-02-29T23:00:00+00:00,744,True,True,0.17534246575342466,0.1516552511415525,0.9657301704766412,0.948733371763226,0.38487127300848084,0.3002634369775136,bull_trend|volatile_transition,bear_stress|quiet_range,bear_stress,bear_stress|quiet_range,0.9373134326094793,0.9460522151193475,ok
2024-04-01T00:00:00+00:00,2022-04-02T00:00:00+00:00,2024-03-31T23:00:00+00:00,17520,2024-03-31T23:00:00+00:00,720,True,True,0.17842465753424658,0.1545662100456621,0.9738880980744256,0.9262545346185912,1.0,0.9937182804900593,bull_trend|volatile_transition,none,bear_stress|bull_trend|volatile_transition,bear_stress|quiet_range,0.9075205537027807,0.9159607703593982,ok
2024-05-01T00:00:00+00:00,2022-05-02T00:00:00+00:00,2024-04-30T23:00:00+00:00,17520,2024-04-30T23:00:00+00:00,744,True,True,0.18430365296803652,0.15234018264840182,0.9791415623618158,0.9177371444272464,0.38502441118092057,0.3377819570341462,bear_stress|bull_trend,none,bear_stress|bull_trend|volatile_transition,bear_stress,0.9528596121811524,0.8245632151412766,ok
2024-06-01T00:00:00+00:00,2022-06-02T00:00:00+00:00,2024-05-31T23:00:00+00:00,17520,2024-05-31T23:00:00+00:00,720,True,True,0.1916095890410959,0.15176940639269407,0.9663670027470728,0.938665698853728,0.5913364256647574,0.40969951910564634,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range,bear_stress|bull_trend|volatile_transition,bear_stress|quiet_range,0.4396940656463398,0.8027227591517067,ok
2024-07-01T00:00:00+00:00,2022-07-02T00:00:00+00:00,2024-06-30T23:00:00+00:00,17520,2024-06-30T23:00:00+00:00,744,True,True,0.2175799086757991,0.14195205479452055,0.9650590892616004,0.9075674942796759,0.5042753265117704,0.9871072046422927,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range,bear_stress|bull_trend|volatile_transition,none,0.8884054087684823,0.2683432929199916,ok
2024-08-01T00:00:00+00:00,2022-08-02T00:00:00+00:00,2024-07-31T23:00:00+00:00,17520,2024-07-31T23:00:00+00:00,744,True,True,0.14286529680365298,0.13247716894977168,0.9739246721135579,0.9311855839646953,0.3908237099722954,0.9998619898799626,bull_trend|stress_proxy,volatile_transition,bull_trend|volatile_transition,bear_stress,0.4112673488245114,0.8640757917971632,ok
2024-09-01T00:00:00+00:00,2022-09-02T00:00:00+00:00,2024-08-31T23:00:00+00:00,17520,2024-08-31T23:00:00+00:00,720,True,True,0.14332191780821918,0.1297945205479452,0.9655947334867853,0.9436422130111696,0.39062691890534784,0.9914103610640551,bull_trend|stress_proxy,volatile_transition,bull_trend|volatile_transition,quiet_range|volatile_transition,0.9291910852583954,0.49849584699299193,ok
2024-10-01T00:00:00+00:00,2022-10-02T00:00:00+00:00,2024-09-30T23:00:00+00:00,17520,2024-09-30T23:00:00+00:00,743,True,True,0.14788812785388128,0.1232876712328767,0.975544320913247,0.9131023584826669,0.48412571078295297,0.542779654622327,bull_trend|stress_proxy,volatile_transition,bear_stress|bull_trend|volatile_transition,bear_stress,0.991577529734204,0.6127730648793741,ok
2024-11-01T00:00:00+00:00,2022-11-02T00:00:00+00:00,2024-10-31T23:00:00+00:00,17519,2024-10-31T23:00:00+00:00,720,True,True,0.19487413665163536,0.119527370283692,0.9792775310465398,0.927589616082185,0.4359426183742749,0.9911538855535136,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range,bear_stress|bull_trend|volatile_transition,bear_stress,0.6222289637205092,0.9488879771690043,ok
2024-12-01T00:00:00+00:00,2022-12-02T00:00:00+00:00,2024-11-30T23:00:00+00:00,17519,2024-11-30T23:00:00+00:00,744,True,True,0.2087447913693704,0.15194931217535249,0.9654147144914625,0.913757652100405,0.453168916284848,0.9888870683723637,bull_trend|quiet_range|stress_proxy,bull_trend,bull_trend|volatile_transition,quiet_range,0.9612853769924176,0.7051518328524827,ok
